route,pir,total_rec_packtess,tota_rec_flits,rec_ideal_flits_ratio,avg_wireless_util,global_avg_delay_cycles,max_delay_cycles,network_throuput,avg_ip_throuput,total_energy,dynamic_energy,static_energy
XY,0.001,176,1408,1.22222,0,8.01136,33,0.156444,0.00977778,1.99376e-06,1.85135e-08,1.97525e-06
XY,0.002,325,2614,1.13455,0,8.21231,26,0.290444,0.0181528,2.00954e-06,3.42885e-08,1.97525e-06
XY,0.003,479,3835,1.10966,0,8.67432,41,0.426111,0.0266319,2.02371e-06,4.84563e-08,1.97525e-06
XY,0.004,610,4875,1.05794,0,9.24754,41,0.541667,0.0338542,2.03817e-06,6.29174e-08,1.97525e-06
XY,0.005,743,5944,1.03194,0,9.07537,54,0.660444,0.0412778,2.049e-06,7.37523e-08,1.97525e-06
XY,0.006,871,6967,1.00796,0,9.47302,53,0.774111,0.0483819,2.06149e-06,8.62363e-08,1.97525e-06
XY,0.007,1025,8197,1.01649,0,10.2302,57,0.910778,0.0569236,2.0771e-06,1.01845e-07,1.97525e-06
XY,0.008,1139,9107,0.988173,0,10.6857,51,1.01189,0.0632431,2.0878e-06,1.12552e-07,1.97525e-06
XY,0.009,1296,10368,1,0,11.0502,83,1.152,0.072,2.10496e-06,1.29714e-07,1.97525e-06
XY,0.01,1435,11485,0.996962,0,12.4,72,1.27611,0.0797569,2.11906e-06,1.43812e-07,1.97525e-06
XY,0.011,1653,13229,1.04396,0,12.5336,72,1.46989,0.0918681,2.14101e-06,1.65755e-07,1.97525e-06
XY,0.012,1762,14095,1.0196,0,13.1742,78,1.56611,0.0978819,2.15314e-06,1.77891e-07,1.97525e-06
XY,0.013,1891,15131,1.01035,0,13.5452,88,1.68122,0.105076,2.16774e-06,1.92488e-07,1.97525e-06
XY,0.014,2059,16485,1.02214,0,14.4434,105,1.83167,0.114479,2.18549e-06,2.10243e-07,1.97525e-06
XY,0.015,2133,17046,0.986458,0,15.8336,108,1.894,0.118375,2.19364e-06,2.18385e-07,1.97525e-06
