route,pir,total_rec_packtess,tota_rec_flits,rec_ideal_flits_ratio,avg_wireless_util,global_avg_delay_cycles,max_delay_cycles,network_throuput,avg_ip_throuput,total_energy,dynamic_energy,static_energy
XY,0.001,127,1016,0.881944,0,7.74803,17,0.112889,0.00705556,1.98899e-06,1.37422e-08,1.97525e-06
XY,0.001,127,1016,0.881944,0,7.74803,17,0.112889,0.00705556,1.98899e-06,1.37422e-08,1.97525e-06
XY,0.001,127,1016,0.881944,0,7.74803,17,0.112889,0.00705556,1.98899e-06,1.37422e-08,1.97525e-06
XY,0.001,127,1016,0.881944,0,7.74803,17,0.112889,0.00705556,1.98899e-06,1.37422e-08,1.97525e-06
XY,0.001,127,1016,0.881944,0,7.74803,17,0.112889,0.00705556,1.98899e-06,1.37422e-08,1.97525e-06
XY,0.002,280,2239,0.971788,0,7.83571,36,0.248778,0.0155486,2.00219e-06,2.69432e-08,1.97525e-06
XY,0.002,280,2239,0.971788,0,7.83571,36,0.248778,0.0155486,2.00219e-06,2.69432e-08,1.97525e-06
XY,0.002,280,2239,0.971788,0,7.83571,36,0.248778,0.0155486,2.00219e-06,2.69432e-08,1.97525e-06
XY,0.002,280,2239,0.971788,0,7.83571,36,0.248778,0.0155486,2.00219e-06,2.69432e-08,1.97525e-06
XY,0.002,280,2239,0.971788,0,7.83571,36,0.248778,0.0155486,2.00219e-06,2.69432e-08,1.97525e-06
XY,0.003,434,3468,1.00347,0,8.12673,36,0.385333,0.0240833,2.01732e-06,4.2065e-08,1.97525e-06
XY,0.003,434,3468,1.00347,0,8.12673,36,0.385333,0.0240833,2.01732e-06,4.2065e-08,1.97525e-06
XY,0.003,421,3375,0.976562,0,8.30404,36,0.375,0.0234375,2.01666e-06,4.14135e-08,1.97525e-06
XY,0.003,421,3375,0.976562,0,8.30404,36,0.375,0.0234375,2.01666e-06,4.14135e-08,1.97525e-06
XY,0.003,421,3375,0.976562,0,8.30404,36,0.375,0.0234375,2.01666e-06,4.14135e-08,1.97525e-06
XY,0.004,546,4368,0.947917,0,8.71245,37,0.485333,0.0303333,2.03034e-06,5.50883e-08,1.97525e-06
